,Nome
0,"('System Idle Process', )"
1,"('System', )"
2,"('svchost.exe', )"
3,"('svchost.exe', )"
4,"('node.exe', )"
5,"('Code.exe', )"
6,"('Code.exe', )"
7,"('svchost.exe', )"
8,"('svchost.exe', )"
9,"('Code.exe', )"
10,"('System Idle Process', )"
11,"('System', )"
12,"('System Idle Process', )"
13,"('opera.exe', )"
14,"('System', )"
15,"('opera.exe', )"
16,"('Code.exe', )"
17,"('conhost.exe', )"
18,"('Code.exe', )"
19,"('Code.exe', )"
20,"('Code.exe', )"
21,"('ACCStd.exe', )"
22,"('Code.exe', )"
23,"('opera.exe', )"
24,"('opera.exe', )"
25,"('opera.exe', )"
26,"('opera.exe', )"
27,"('audiodg.exe', )"
28,"('NVDisplay.Container.exe', )"
29,"('NortonSecurity.exe', )"
30,"('svchost.exe', )"
31,"('Code.exe', )"
